Category	Ticker	Date	Open	Close	High	Low	AggrPercent
Health	UNH	2021-03-31	372.799988	372.070007	377.0	371.799988	-0.1958
Health	UNH	2021-04-01	372.200012	367.070007	372.690002	365.76001	-1.3783
Health	UNH	2021-04-02	370.91	368.62	372.66	366.7	-0.6174
Health	UNH	2021-04-03	370.26	369.4	372.65	367.17	-0.2323
Health	UNH	2021-04-04	369.94	369.79	372.64	367.41	-0.0405
Health	UNH	2021-04-05	369.619995	370.179993	372.630005	367.640015	0.1515
Health	UNH	2021-04-06	368.779999	364.369995	369.790009	362.720001	-1.1958
Health	UNH	2021-04-07	364.190002	365.640015	365.880005	360.549988	0.3981
Health	UNH	2021-04-08	363.109985	364.890015	366.910004	363.109985	0.4902
Health	UNH	2021-04-09	368.350006	376.299988	376.609985	367.0	2.1583
Health	UNH	2021-04-10	371.42	376.29	378.22	370.51	1.3112
Health	UNH	2021-04-11	372.95	376.28	379.02	372.27	0.8929
Health	UNH	2021-04-12	374.480011	376.279999	379.829987	374.029999	0.4807
Health	UNH	2021-04-13	376.25	374.5	379.309998	374.329987	-0.4651
Health	UNH	2021-04-14	375.339996	375.630005	378.01001	374.579987	0.0773
Health	UNH	2021-04-15	380.0	390.01001	392.359985	380.0	2.6342
Health	UNH	2021-04-16	393.920013	391.01001	393.920013	385.459991	-0.7387
Health	UNH	2021-04-17	391.96	390.43	393.66	386.96	-0.3903
Health	UNH	2021-04-18	390.98	390.13	393.53	387.72	-0.2174
Health	UNH	2021-04-19	390.0	389.839996	393.390015	388.470001	-0.041
Health	UNH	2021-04-20	389.859985	396.529999	397.880005	389.420013	1.7109
Health	UNH	2021-04-21	398.859985	398.809998	401.480011	395.440002	-0.0125
Health	UNH	2021-04-22	398.440002	396.540009	398.76001	393.190002	-0.4769
Health	UNH	2021-04-23	395.619995	400.309998	401.98999	394.5	1.1855
Health	UNH	2021-04-24	397.71	398.08	400.99	394.85	0.093
Health	UNH	2021-04-25	398.76	396.97	400.5	395.03	-0.4489
Health	UNH	2021-04-26	399.809998	395.859985	400.0	395.209991	-0.988
Health	UNH	2021-04-27	394.660004	394.5	396.329987	392.299988	-0.0405
Health	UNH	2021-04-28	395.179993	394.589996	396.98999	393.299988	-0.1493
Health	UNH	2021-04-29	396.75	401.549988	402.160004	396.299988	1.2098
Health	UNH	2021-04-30	401.0	398.799988	401.859985	398.350006	-0.5486
Health	UNH	2021-05-01	401.0	402.35	404.31	399.44	0.3367
Health	UNH	2021-05-02	401.0	404.12	405.54	399.98	0.7781
Health	UNH	2021-05-03	401.0	405.899994	406.769989	400.529999	1.2219
Health	UNH	2021-05-04	405.480011	411.339996	412.470001	403.5	1.4452
Health	UNH	2021-05-05	410.5	412.5	412.75	406.799988	0.4872
Health	UNH	2021-05-06	413.0	414.970001	416.850006	412.559998	0.477
Health	UNH	2021-05-07	415.0	417.649994	419.019989	414.070007	0.6386
Health	UNH	2021-05-08	417.13	419.27	422.5	416.15	0.513
Health	UNH	2021-05-09	418.2	420.08	424.24	417.19	0.4495
Health	UNH	2021-05-10	419.269989	420.890015	425.980011	418.220001	0.3864
Health	UNH	2021-05-11	421.0	411.700012	422.290009	410.609985	-2.209
Health	UNH	2021-05-12	409.290009	405.369995	410.850006	404.679993	-0.9578
Health	UNH	2021-05-13	406.279999	408.559998	413.179993	404.320007	0.5612
Health	UNH	2021-05-14	410.98999	409.799988	412.589996	408.5	-0.2895
Health	UNH	2021-05-15	410.15	409.21	412.55	408.54	-0.2292
Health	UNH	2021-05-16	409.73	408.92	412.53	408.56	-0.1977
Health	UNH	2021-05-17	409.309998	408.630005	412.51001	408.570007	-0.1661
