CATEGORY	DATE	TWEET
Health	2023-03-13	"12 - #Tesla $TSLA Xpeng presents updated P7 called P7i ""Chinese electric car manufacturer Xpeng is putting the spotlight on the facelift of its P7 sedan, which is also available in Europe. The new edition is called Xpeng P7i &amp; can be ordered in China as of now."" Read more"
Health	2023-03-13	"16 - #Tesla $TSLA GM May Introduce ChatGPT AI Assistant Into Its Vehicles ""General Motors is evaluating the possibility of using #ChatGPT in its vehicles, thanks largely to its broad collaboration with #Microsoft."" Read more"
Health	2023-03-13	"11 - #Tesla $TSLA BYD slashes price of Song and Seal in China as EV price wars heat up ""BYD is joining the Chinese price wars with price cuts to the Song Plus line-up and Seal for the rest of March. The price cut will be in the form of a discount."" Read more"
Health	2023-03-13	@cb_doge @elonmusk @Teslaconomics #Tesla #CyberTruck The Official #EndTimesVehicle
Health	2023-03-13	@detectfights That's officers name is #Tesla and they just removed his #uss ULTRA SONIC SENSE, his #TeslaVision update is still pending
Health	2023-03-13	"14 - #Tesla $TSLA EV maker Tevva partners with Ecobat for battery management ""British EV manufacturer Tevva has entered into a partnership with battery recycling company Ecobat for the repair, repurposing and recycling of Tevvas lithium-ion batteries."" Read more"
Health	2023-03-13	Everyone tag @elonmusk please so he sees this #ElonMusk #Tesla
Health	2023-03-13	. @elonmusk any evidence of #censorship efforts from regulators around #bitcoin on twtr especially today? PS loyal #tesla owner here $tsla
Health	2023-03-13	"13 - #Tesla $TSLA Volkswagen Picks Canada for 1st North American Battery Cell Plant ""European automaker Volkswagen stands to gain access to new electric vehicle (EV) subsidies in North America as it prepares to build its first battery cell plant on the continent."" Read more"
Health	2023-03-13	"15 - #Tesla $TSLA First Solar, Tata Among Bidders For Indias $2.4 Billion Solar Module Subsidy ""Indian media outlets have reported that some of the largest renewable energy companies in the country have put in bids seeking subsidies to manufacture solar modules."" Read more"
Health	2023-03-13	@DMC_Ryan @Gfilche @Tesla @elonmusk Currently good enough for camping, but insignificant for driving.
Health	2023-03-13	@williamlegate @MarioNawfal @unusual_whales @WhalesGuru @jimcramer @litcapital @Cokedupoptions @AutismCapital I think hes the only reason silicon bank went bankrupt after he recommended them when he recommended Tesla the stock drop 75%. he has the Magic touch kiss of death. Be careful if he says youre going to live forever. Youll probably be dead in the next one week.
Health	2023-03-13	@AnArkPassenger @theolagendijk @BrandonTSLA @Tesla One Confused Man and His Dog #renewable
Health	2023-03-13	@TicTocTick not according to my tesla puts
Health	2023-03-13	@Same80Crypto @theolagendijk @BrandonTSLA @Tesla Go a diper on
Health	2023-03-13	@QCompounding Where's Tesla?
Health	2023-03-13	@Skylerrrx5 @drewbian When they place the Balloon in the outermost corner like that, you need to place your building one tile over from the regular placement to pull it. I play Tesla and that's how I deal with this situation. This also applies for if they push it with an air troop (ex. Bats)
Health	2023-03-13	@willPS21 @AltSanJuanIsle @williamlegate @Bomco1776 @elonmusk The post says it charges at.. I understood that to mean it charges at the rate of 35KW, which struck me as unlikely, esp as OP said Tesla x10 as much. Ok, I understand the OP may may have been talking about battery *capacity*, not charge rate.
Health	2023-03-13	@esherifftv @Tesla_Optimus Great to see you recovering so well. I have some experience with what you are going through. Good luck with all the physio ahead and hopefully in good time you will be back to normal! Cheers from the Yukon.
Health	2023-03-13	@DMC_Ryan @Gfilche @Tesla @elonmusk Currently good enough for camping, but insignificant for driving.
Health	2023-03-13	About six stocks. -Dont listen anyone. -Choose your own ones -#tsla never make you wrong. -Dont sell when it fall down. - Dont sell when it goes up. -Wait for split stocks -Be patient
Health	2023-03-13	#TSLA be careful smart folk. Wall street owns too much now. Hated it at 90 120 love it at 224. China slashing prices to keep up with downturn and EV GLUT. I like NIO AT $7 TSLA wallstreet clowns own it so careful
Health	2023-03-13	@williamlegate @MarioNawfal @unusual_whales @WhalesGuru @jimcramer @litcapital @Cokedupoptions @AutismCapital I think hes the only reason silicon bank went bankrupt after he recommended them when he recommended Tesla the stock drop 75%. he has the Magic touch kiss of death. Be careful if he says youre going to live forever. Youll probably be dead in the next one week.
