CATEGORY	TICKER	DATE	OPEN	CLOSE	PRE_MARKET	AFTER_HOURS	HIGH	LOW
Health	UNH	2022-08-01	542.27	535.38			543.65	531.0
Health	UNH	2022-08-02	537.55	535.46			540.53	531.72
Health	UNH	2022-08-03	537.26	540.65			543.62	535.69
Health	UNH	2022-08-04	539.29	533.75			540.43	532.755
Health	UNH	2022-08-05	530.0	535.06			535.5	527.56
Health	UNH	2022-08-06	534.95	535.83			538.4	530.49
Health	UNH	2022-08-07	537.43	536.22			539.85	531.95
Health	UNH	2022-08-08	539.91	536.6			541.3	533.42
Health	UNH	2022-08-09	540.0	537.26			545.74	536.38
Health	UNH	2022-08-10	540.26	537.72			541.98	533.81
Health	UNH	2022-08-11	538.24	532.86			538.6336	529.675
Health	UNH	2022-08-12	535.61	543.7			544.395	534.45
Health	UNH	2022-08-13	538.64	544.17			545.8	536.5
Health	UNH	2022-08-14	540.15	544.4			546.5	537.53
Health	UNH	2022-08-15	541.67	544.64			547.21	538.56
Health	UNH	2022-08-16	545.21	546.12			547.44	542.39
Health	UNH	2022-08-17	545.24	545.0			547.79	541.57
Health	UNH	2022-08-18	545.01	545.22			548.13	541.82
Health	UNH	2022-08-19	545.5	548.32			553.1299	544.815
Health	UNH	2022-08-20	543.44	546.45			551.32	543.08
Health	UNH	2022-08-21	542.41	545.51			550.42	542.22
Health	UNH	2022-08-22	541.39	544.57			549.52	541.35
Health	UNH	2022-08-23	543.29	535.8			543.29	533.21
Health	UNH	2022-08-24	536.68	536.46			539.86	535.02
Health	UNH	2022-08-25	535.01	541.57			542.02	531.25
Health	UNH	2022-08-26	542.26	529.25			543.19	528.22
Health	UNH	2022-08-27	534.13	529.51			538.05	525.55
Health	UNH	2022-08-28	530.07	529.64			535.47	524.21
Health	UNH	2022-08-29	526.0	529.77			532.9	522.87
Health	UNH	2022-08-30	530.41	522.84			531.09	521.79
Health	UNH	2022-08-31	520.82	519.33			527.1	519.155
Health	UNH	2022-09-01	519.33	524.0			524.26	515.09
Health	UNH	2022-09-02	529.62	516.35			529.79	513.81
Health	UNH	2022-09-03	524.77	517.01			528.62	515.37
Health	UNH	2022-09-04	522.35	517.35			528.04	516.14
Health	UNH	2022-09-05	521.14	517.51			527.75	516.53
Health	UNH	2022-09-06	519.93	517.68			527.45	516.92
Health	UNH	2022-09-07	517.0	521.68			523.5	514.68
Health	UNH	2022-09-08	520.95	527.51			528.49	518.81
Health	UNH	2022-09-09	527.83	524.34			527.83	522.58
Health	UNH	2022-09-10	526.41	527.8			531.42	522.54
Health	UNH	2022-09-11	525.7	529.52			533.22	522.52
Health	UNH	2022-09-12	525.0	531.25			535.02	522.5
Health	UNH	2022-09-13	524.0	513.96			525.26	511.97
Health	UNH	2022-09-14	514.0	509.77			515.38	506.1
Health	UNH	2022-09-15	516.3	522.91			527.98	514.1402
Health	UNH	2022-09-16	518.52	521.02			522.82	517.08
Health	UNH	2022-09-17	518.56	522.28			523.41	515.03
Health	UNH	2022-09-18	518.58	522.91			523.7	514.0
Health	UNH	2022-09-19	518.59	523.55			524.0	512.97
Health	UNH	2022-09-20	524.24	522.8			524.67	514.81
Health	UNH	2022-09-21	525.03	512.08			528.01	512.02
Health	UNH	2022-09-22	511.03	517.46			520.97	506.1101
Health	UNH	2022-09-23	513.56	513.61			514.66	506.38
Health	UNH	2022-09-24	510.47	510.99			513.62	502.69
Health	UNH	2022-09-25	508.93	509.68			513.1	500.85
Health	UNH	2022-09-26	507.39	508.36			512.57	499.0
Health	UNH	2022-09-27	510.37	508.37			516.795	503.58
Health	UNH	2022-09-28	506.48	513.94			516.27	500.8
Health	UNH	2022-09-29	514.77	508.83			514.77	502.47
Health	UNH	2022-09-30	511.1	505.04			516.55	504.84
Health	UNH	2022-10-01	509.09	510.27			517.18	505.12
Health	UNH	2022-10-02	508.08	512.89			517.49	505.26
Health	UNH	2022-10-03	507.08	515.51			517.81	505.4
Health	UNH	2022-10-04	518.35	523.17			524.59	516.83
Health	UNH	2022-10-05	521.0	527.07			529.35	520.13
Health	UNH	2022-10-06	528.33	519.13			528.575	516.74
Health	UNH	2022-10-07	514.17	504.85			514.17	501.06
Health	UNH	2022-10-08	509.88	501.86			510.24	498.04
Health	UNH	2022-10-09	507.74	500.36			508.27	496.53
Health	UNH	2022-10-10	505.6	498.86			506.31	495.02
Health	UNH	2022-10-11	496.97	499.81			506.83	495.18
Health	UNH	2022-10-12	502.13	499.96			508.25	498.21
Health	UNH	2022-10-13	493.45	509.91			513.47	487.74
Health	UNH	2022-10-14	520.0	513.13			529.91	511.93
Health	UNH	2022-10-15	518.87	517.5			527.11	513.61
Health	UNH	2022-10-16	518.31	519.69			525.71	514.44
Health	UNH	2022-10-17	517.74	521.88			524.31	515.28
Health	UNH	2022-10-18	532.0	522.21			532.0	518.325
Health	UNH	2022-10-19	521.74	520.32			523.815	514.6
Health	UNH	2022-10-20	523.05	520.88			529.42	519.78
Health	UNH	2022-10-21	518.06	533.73			536.5325	518.01
Health	UNH	2022-10-22	528.07	537.66			541.51	527.9
Health	UNH	2022-10-23	533.07	539.63			544.0	532.85
Health	UNH	2022-10-24	538.07	541.6			546.48	537.8
Health	UNH	2022-10-25	537.79	540.22			543.92	533.9
Health	UNH	2022-10-26	541.38	543.17			547.64	540.205
Health	UNH	2022-10-27	546.52	541.8			546.52	539.76
Health	UNH	2022-10-28	544.97	551.24			553.0	543.69
Health	UNH	2022-10-29	549.99	553.19			555.55	546.91
Health	UNH	2022-10-30	552.5	554.17			556.83	548.52
Health	UNH	2022-10-31	555.0	555.15			558.1	550.13
Health	UNH	2022-11-01	555.0	547.31			555.69	544.22
Health	UNH	2022-11-02	544.41	543.43			554.58	543.07
Health	UNH	2022-11-03	541.74	543.61			547.87	538.13
Health	UNH	2022-11-04	547.05	538.17			547.76	527.14
Health	UNH	2022-11-05	542.61	541.6			547.36	531.31
Health	UNH	2022-11-06	540.39	543.31			547.15	533.39
Health	UNH	2022-11-07	538.17	545.02			546.95	535.47
Health	UNH	2022-11-08	547.05	553.05			554.8	542.0
Health	UNH	2022-11-09	553.78	540.66			554.61	539.44
Health	UNH	2022-11-10	548.93	544.17			551.7	533.95
Health	UNH	2022-11-11	546.28	522.08			546.28	509.65
Health	UNH	2022-11-12	534.14	517.91			537.63	511.53
Health	UNH	2022-11-13	528.07	515.83			533.31	512.47
Health	UNH	2022-11-14	522.0	513.75			528.98	513.41
Health	UNH	2022-11-15	512.81	503.01			516.635	500.7724
Health	UNH	2022-11-16	505.89	511.52			514.13	505.47
Health	UNH	2022-11-17	512.16	515.31			526.98	512.16
Health	UNH	2022-11-18	522.12	530.0			532.995	519.4591
Health	UNH	2022-11-19	525.57	523.6			532.47	517.42
Health	UNH	2022-11-20	527.29	520.39			532.21	516.4
Health	UNH	2022-11-21	529.01	517.19			531.95	515.38
Health	UNH	2022-11-22	519.94	523.09			524.6552	519.91
Health	UNH	2022-11-23	525.0	529.71			530.44	523.0
Health	UNH	2022-11-24	529.5	533.66			535.64	527.76
Health	UNH	2022-11-25	534.0	537.62			540.85	532.52
Health	UNH	2022-11-26	534.91	534.94			540.22	532.11
Health	UNH	2022-11-27	535.37	533.61			539.9	531.9
Health	UNH	2022-11-28	535.83	532.27			539.58	531.69
Health	UNH	2022-11-29	531.67	528.0			532.97	523.65
Health	UNH	2022-11-30	529.72	547.76			548.08	527.48
Health	UNH	2022-12-01	552.36	536.91			553.0	535.8
Health	UNH	2022-12-02	532.83	536.16			538.61	532.44
Health	UNH	2022-12-03	532.16	535.6			539.5	531.66
Health	UNH	2022-12-04	531.83	535.32			539.94	531.27
Health	UNH	2022-12-05	531.49	535.04			540.38	530.88
Health	UNH	2022-12-06	534.42	539.32			540.59	534.24
Health	UNH	2022-12-07	540.84	542.91			545.905	539.6344
Health	UNH	2022-12-08	544.86	547.92			551.29	543.78
Health	UNH	2022-12-09	547.93	539.2			548.49	538.87
Health	UNH	2022-12-10	544.89	542.53			547.28	539.08
Health	UNH	2022-12-11	543.37	544.19			546.68	539.18
Health	UNH	2022-12-12	541.85	545.86			546.079	539.28
Health	UNH	2022-12-13	550.56	538.22			550.99	535.1
Health	UNH	2022-12-14	541.93	538.36			543.48	531.57
Health	UNH	2022-12-15	533.99	527.68			534.07	525.47
Health	UNH	2022-12-16	525.15	523.7			525.81	515.72
Health	UNH	2022-12-17	524.88	523.65			526.51	518.32
Health	UNH	2022-12-18	524.74	523.62			526.86	519.62
Health	UNH	2022-12-19	524.6	523.6			527.2111	520.928
Health	UNH	2022-12-20	526.99	520.21			526.99	519.7
Health	UNH	2022-12-21	523.63	527.54			527.8799	518.1
Health	UNH	2022-12-22	526.48	527.09			529.01	521.63
Health	UNH	2022-12-23	524.1	531.31			531.31	522.895
Health	UNH	2022-12-24	529.01	531.65			533.58	526.37
Health	UNH	2022-12-25	531.47	531.82			534.71	528.11
Health	UNH	2022-12-26	532.7	531.9			535.28	528.98
Health	UNH	2022-12-27	533.93	531.99			535.84	529.845
Health	UNH	2022-12-28	535.07	528.45			538.15	527.734
Health	UNH	2022-12-29	532.54	529.88			533.68	528.86
Health	UNH	2022-12-30	530.0	530.18			530.5	524.84
Health	UNH	2022-12-31	527.57	524.41			528.07	518.5
Health	UNH	2023-01-01	526.35	521.52			526.85	515.33
Health	UNH	2023-01-02	525.74	520.08			526.24	513.75
Health	UNH	2023-01-03	525.13	518.64			525.63	512.1601
Health	UNH	2023-01-04	518.64	504.5			518.64	500.6
Health	UNH	2023-01-05	501.01	489.96			502.09	488.5
Health	UNH	2023-01-06	491.59	490.0			492.87	487.5401
Health	UNH	2023-01-07	492.0	490.03			496.43	488.04
Health	UNH	2023-01-08	492.21	490.04			498.21	488.29
Health	UNH	2023-01-09	492.41	490.06			499.99	488.54
Health	UNH	2023-01-10	488.85	486.0			490.47	482.68
Health	UNH	2023-01-11	485.29	493.4			495.6	485.0
Health	UNH	2023-01-12	490.0	495.67			498.73	485.22
Health	UNH	2023-01-13	486.11	489.57			509.5	486.0
Health	UNH	2023-01-14	488.65	487.32			501.22	484.89
Health	UNH	2023-01-15	489.92	486.2			497.08	484.33
Health	UNH	2023-01-16	490.56	485.64			495.01	484.05
Health	UNH	2023-01-17	491.2	485.08			492.94	483.78
Health	UNH	2023-01-18	488.05	476.24			489.5	474.75
Health	UNH	2023-01-19	477.87	484.36			486.39	477.3882
Health	UNH	2023-01-20	485.53	486.72			486.99	479.0
Health	UNH	2023-01-21	486.11	486.26			488.55	480.19
Health	UNH	2023-01-22	486.39	486.03			489.33	480.79
Health	UNH	2023-01-23	486.68	485.81			490.1	481.39
Health	UNH	2023-01-24	500.26	491.6			500.26	480.0
Health	UNH	2023-01-25	489.28	492.5			495.36	485.73
Health	UNH	2023-01-26	492.5	492.48			496.45	490.5801
Health	UNH	2023-01-27	493.37	486.05			493.37	484.47
Health	UNH	2023-01-28	490.59	485.92			494.31	484.63
Health	UNH	2023-01-29	489.2	485.86			494.78	484.72
Health	UNH	2023-01-30	487.81	485.79			495.25	484.8
