Category	Ticker	Date	Open	Close	High	Low
Health	UNH	2021-03-31	372.799988	372.070007	377.0	371.799988
Health	UNH	2021-04-01	372.200012	367.070007	372.690002	365.76001
Health	UNH	2021-04-02	370.91	368.62	372.66	366.7
Health	UNH	2021-04-03	370.26	369.4	372.65	367.17
Health	UNH	2021-04-04	369.94	369.79	372.64	367.41
Health	UNH	2021-04-05	369.619995	370.179993	372.630005	367.640015
Health	UNH	2021-04-06	368.779999	364.369995	369.790009	362.720001
Health	UNH	2021-04-07	364.190002	365.640015	365.880005	360.549988
Health	UNH	2021-04-08	363.109985	364.890015	366.910004	363.109985
Health	UNH	2021-04-09	368.350006	376.299988	376.609985	367.0
Health	UNH	2021-04-10	371.42	376.29	378.22	370.51
Health	UNH	2021-04-11	372.95	376.28	379.02	372.27
Health	UNH	2021-04-12	374.480011	376.279999	379.829987	374.029999
Health	UNH	2021-04-13	376.25	374.5	379.309998	374.329987
Health	UNH	2021-04-14	375.339996	375.630005	378.01001	374.579987
Health	UNH	2021-04-15	380.0	390.01001	392.359985	380.0
Health	UNH	2021-04-16	393.920013	391.01001	393.920013	385.459991
Health	UNH	2021-04-17	391.96	390.43	393.66	386.96
Health	UNH	2021-04-18	390.98	390.13	393.53	387.72
Health	UNH	2021-04-19	390.0	389.839996	393.390015	388.470001
Health	UNH	2021-04-20	389.859985	396.529999	397.880005	389.420013
Health	UNH	2021-04-21	398.859985	398.809998	401.480011	395.440002
Health	UNH	2021-04-22	398.440002	396.540009	398.76001	393.190002
Health	UNH	2021-04-23	395.619995	400.309998	401.98999	394.5
Health	UNH	2021-04-24	397.71	398.08	400.99	394.85
Health	UNH	2021-04-25	398.76	396.97	400.5	395.03
Health	UNH	2021-04-26	399.809998	395.859985	400.0	395.209991
Health	UNH	2021-04-27	394.660004	394.5	396.329987	392.299988
Health	UNH	2021-04-28	395.179993	394.589996	396.98999	393.299988
Health	UNH	2021-04-29	396.75	401.549988	402.160004	396.299988
Health	UNH	2021-04-30	401.0	398.799988	401.859985	398.350006
Health	UNH	2021-05-01	401.0	402.35	404.31	399.44
Health	UNH	2021-05-02	401.0	404.12	405.54	399.98
Health	UNH	2021-05-03	401.0	405.899994	406.769989	400.529999
Health	UNH	2021-05-04	405.480011	411.339996	412.470001	403.5
Health	UNH	2021-05-05	410.5	412.5	412.75	406.799988
Health	UNH	2021-05-06	413.0	414.970001	416.850006	412.559998
Health	UNH	2021-05-07	415.0	417.649994	419.019989	414.070007
Health	UNH	2021-05-08	417.13	419.27	422.5	416.15
Health	UNH	2021-05-09	418.2	420.08	424.24	417.19
Health	UNH	2021-05-10	419.269989	420.890015	425.980011	418.220001
Health	UNH	2021-05-11	421.0	411.700012	422.290009	410.609985
Health	UNH	2021-05-12	409.290009	405.369995	410.850006	404.679993
Health	UNH	2021-05-13	406.279999	408.559998	413.179993	404.320007
Health	UNH	2021-05-14	410.98999	409.799988	412.589996	408.5
Health	UNH	2021-05-15	410.15	409.21	412.55	408.54
Health	UNH	2021-05-16	409.73	408.92	412.53	408.56
Health	UNH	2021-05-17	409.309998	408.630005	412.51001	408.570007
Health	UNH	2021-05-18	409.690002	410.380005	412.959991	406.269989
Health	UNH	2021-05-19	409.48999	409.5	410.720001	404.25
Health	UNH	2021-05-20	409.529999	408.640015	413.829987	408.320007
Health	UNH	2021-05-21	410.76001	411.630005	418.630005	409.459991
Health	UNH	2021-05-22	411.57	411.29	416.26	409.69
Health	UNH	2021-05-23	411.97	411.12	415.08	409.81
Health	UNH	2021-05-24	412.369995	410.950012	413.899994	409.920013
Health	UNH	2021-05-25	411.850006	413.049988	413.859985	408.890015
Health	UNH	2021-05-26	412.100006	413.209991	415.299988	411.01001
Health	UNH	2021-05-27	414.920013	412.700012	415.109985	410.380005
Health	UNH	2021-05-28	412.700012	411.920013	415.470001	410.019989
Health	UNH	2021-05-29	413.22	409.32	414.6	408.09
Health	UNH	2021-05-30	413.48	408.02	414.17	407.13
Health	UNH	2021-05-31	413.61	407.37	413.95	406.65
Health	UNH	2021-06-01	413.730011	406.720001	413.730011	406.160004
Health	UNH	2021-06-02	409.140015	405.850006	409.140015	404.549988
Health	UNH	2021-06-03	403.5	407.959991	409.76001	402.839996
Health	UNH	2021-06-04	410.959991	405.640015	411.0	404.649994
Health	UNH	2021-06-05	408.96	402.95	409.1	401.67
Health	UNH	2021-06-06	407.96	401.6	408.15	400.18
Health	UNH	2021-06-07	406.959991	400.25	407.209991	398.690002
Health	UNH	2021-06-08	400.720001	401.73999	402.75	398.75
Health	UNH	2021-06-09	403.329987	401.100006	405.779999	400.529999
Health	UNH	2021-06-10	401.910004	401.48999	402.850006	398.470001
Health	UNH	2021-06-11	403.350006	397.890015	403.359985	394.779999
Health	UNH	2021-06-12	400.32	398.53	401.41	394.96
Health	UNH	2021-06-13	398.81	398.85	400.44	395.05
Health	UNH	2021-06-14	397.299988	399.160004	399.470001	395.130005
Health	UNH	2021-06-15	399.959991	400.279999	401.5	396.470001
Health	UNH	2021-06-16	401.100006	397.25	403.149994	396.670013
Health	UNH	2021-06-17	396.0	397.350006	398.070007	394.609985
Health	UNH	2021-06-18	387.279999	389.369995	392.660004	387.25
Health	UNH	2021-06-19	388.32	393.72	395.93	388.24
Health	UNH	2021-06-20	388.84	395.9	397.57	388.73
Health	UNH	2021-06-21	389.369995	398.070007	399.200012	389.220001
Health	UNH	2021-06-22	400.609985	398.690002	400.649994	397.820007
Health	UNH	2021-06-23	397.820007	395.559998	399.0	395.269989
Health	UNH	2021-06-24	398.320007	398.869995	402.160004	396.839996
Health	UNH	2021-06-25	400.100006	404.950012	409.980011	399.019989
Health	UNH	2021-06-26	402.53	403.21	407.49	398.47
Health	UNH	2021-06-27	403.74	402.33	406.24	398.2
Health	UNH	2021-06-28	404.950012	401.459991	404.98999	397.929993
Health	UNH	2021-06-29	401.970001	398.100006	403.200012	397.480011
Health	UNH	2021-06-30	397.540009	400.440002	401.399994	396.799988
Health	UNH	2021-07-01	402.029999	404.890015	405.209991	401.809998
Health	UNH	2021-07-02	405.089996	409.359985	409.869995	403.880005
Health	UNH	2021-07-03	406.88	409.81	410.51	404.79
Health	UNH	2021-07-04	407.78	410.04	410.84	405.25
Health	UNH	2021-07-05	408.23	410.15	411.0	405.48
Health	UNH	2021-07-06	408.670013	410.26001	411.160004	405.709991
Health	UNH	2021-07-07	410.350006	411.660004	412.179993	407.200012
Health	UNH	2021-07-08	408.609985	409.950012	410.829987	405.079987
Health	UNH	2021-07-09	412.529999	412.109985	413.25	410.640015
Health	UNH	2021-07-10	411.77	414.07	414.82	410.48
Health	UNH	2021-07-11	411.39	415.06	415.61	410.39
Health	UNH	2021-07-12	411.019989	416.040009	416.399994	410.309998
Health	UNH	2021-07-13	416.380005	418.540009	419.690002	415.709991
Health	UNH	2021-07-14	420.769989	414.73999	422.529999	413.350006
Health	UNH	2021-07-15	411.910004	420.049988	421.730011	407.200012
Health	UNH	2021-07-16	421.359985	419.700012	422.290009	417.640015
Health	UNH	2021-07-17	419.3	414.38	420.91	412.23
Health	UNH	2021-07-18	418.27	411.72	420.22	409.52
