CATEGORY	DATE	TITLE	COUNT
EVs	2023-04-20	"@moonovermakeba @elonmusk Look up what the top selling cars in the US and Europe are. ""Tesla could sell its electric cars at zero profit and make money on autopilot technology, something he says other car makers would be unable to match."""	1
EVs	2023-04-20	@WholeMarsBlog At what point will Tesla be considered a software company, operating on a mobile device?	1
EVs	2023-04-20	@grandoldmemes I'll be the first to admit that initially I was skeptical, but I now understand. Brilliant, and the marketing expense is 0.00 (same as Tesla).	1
EVs	2023-04-20	@elonmusk @cb_doge @NBCUniversal Hey Elon, can you donate me a tesla 3 please as I wont be able to ever afford one . I have just had 3 rounds if Chemo and that was pretty rough . So I would really appreciate it Im not a bot either, Help out a Brother from another mother	1
EVs	2023-04-20	@Bradley4652 @JoshuaPHilll What free market? Tesla sets fire to $2b of your tax money every year. SpaceX is up to $15 billion in public assistance. Neither company would still be a going concern without constant, monumental effort, from the government.	1
EVs	2023-04-20	Tweeted that @Tesla doesn't have a checkmark. Apparently it has a gold one. But they are no longer appearing on Tweetdeck because... well just because.	3
EVs	2023-04-20	@TSLAFanMtl Do you want Tesla to be more like a mature company (Ford)?	1
EVs	2023-04-20	@effle @WallStCynic If its a redundant sensor suite why are these autonomous tax vehicles still doing better than Tesla	1
EVs	2023-04-20	@SimulatedLie @raistocktrading @bollingermotors If Lucid and Tesla buys license to the new tech. David said he was in talks with major OEMs to license battery tech	1
EVs	2023-04-20	@GerberKawasaki Tesla does not need you as an investor badly.	1
EVs	2023-04-20	A Tesla gon cost 50cent after Elon musk savage this twitter then he prolly gon lose so much money off this he prolly lose the company	1
EVs	2023-04-20	@garyblack00 @elonmusk Elon is all in on autonomy, but what if it fails? Does tesla get the biggest sell off back down to $50?	1
EVs	2023-04-20	#Musk Last question before I free all. Who own's Tesla's patents? Who was Edition? Who will be new future, ? @elonmusk	1
EVs	2023-04-20	@boujee_banker @DeepSailCapital So that means in 2027, Cathy expects Tesla to sell ~28% of all cars sold in the world.	1
EVs	2023-04-20	@bretstu @TSLAFanMtl i was led to believe that Tesla AI was a startup within Tesla. wrong. Elon is working on his own AI startup outside of Tesla. thats why i bought & ; will keep buying $NVDA	1
EVs	2023-04-20	@ZandEngel @tylerbowyer If people can't pay their student loans how they going to afford a tesla	1
EVs	2023-04-20	@westwing45_ @elonmusk Twitter down 50% since he bought it about to be bankrupt, spacex rocket explodes, tesla has never once hit production expectations. Genius	1
EVs	2023-04-20	"#ChatGPT once said: ""Congratulations @elonmusk on acquiring @Microsoft and paving the way for the ultimate AI giant! Can't wait to see how this will enhance #Tesla's language model voice assistant and revolutionize the office/work model in the early stages of #Mars colonization"""	1
EVs	2023-04-20	@garyblack00 It is no longer the car we love. It is stocking like a sore in our garage. I wanted to get rid of it even at a loss if it wasn't for some factors. No day passes by without me looking at what other EV are coming. Tesla is dead to me even the Cybertruck which was my dream car	1
EVs	2023-04-20	@squawksquare @CathieDWood Have you ever made any long term Tesla predictions that were right? Cathie has, no?	1
EVs	2023-04-20	"Here's a post I made from the future: ""Tesla didn't force Ford and GM into bankruptcy.. they did that to themselves. Tesla just sped the process up."""	1
EVs	2023-04-20	@TeslaSynopsis Keep the faith. ..the mission and direction are fully intactas a investor since 14 and a new Y owner I have never been more pleased with the progress of Tesla maybe a rough 6-9 months BUY	1
EVs	2023-04-20	I do not condone shorting but Microsoft and its Foundation caused a 4-1 split of Tesla so Short in Return and Sue to ensure it doesnt happen again. After that, limit social postings after everything cleaned up and unverified.	1
EVs	2023-04-20	Apparently weed was invented today? Thanks, probably Nikola Tesla.	1
EVs	2023-04-20	@danprimack @Tesla @SpaceX @StephenKing they have check marks	1
EVs	2023-04-20	my brother got a Tesla .... likeee LOOK AT THOSE MF WHEELS ON THAT TESLA	1
EVs	2023-04-20	@TashaARK Dependent on 100$+/hr earning owners willing to pay 300$ a month to tesla to save them 1 hour of driving time daily. And with that time they entertain themselves 50% n earn 50%. At 100$ /hr you make extra 50$. 30$ post tax from where you pass on 10$ to tesla. Option b is robotaxi	1
EVs	2023-04-20	@ryxcommar Old man meets realization that he will be complaining about a Tesla monopoly in EVs and in Self driving tech in less than 10 yrs. *it will be a wildly bumpy ride	1
EVs	2023-04-20	@EmmetPeppers Well, Tesla quality is shit, and Toyota and Honda are not. Also, Tesla insurance costs are higher. Also, youre comparing a mid size sedan with large cargo capacity with a compact sedan. No contest.	1
EVs	2023-04-20	@ryxcommar She says that autonomy is a huge driver of this. Which is dumb bc (a) the autonomy industry is cratering (b) Tesla isnt a leader in that tech anyway.	1
EVs	2023-04-20	Tesla reports Q1 2023 profit of $2.51bn, down 24% YoY, and a gross margin reduction from 29.1% to 19.3%. Revenue in the period was $23.33bn, up 24% YoY. @Tesla	1
EVs	2023-04-20	@WholeMarsBlog So I should sell my Tesla stock?	1
EVs	2023-04-20	@JohnMichaelsU @BarrettSallee Tesla, Space X, yeah but he is our dbag.	1
EVs	2023-04-20	@danprimack @Tesla @SpaceX @StephenKing apparently not since 100 million dollar blown up rocket is pocket change	1
EVs	2023-04-20	A Tesla gon cost 50cent after Elon musk savage this twitter then he prolly gon lost so much money off this he prolly lose the company	1
EVs	2023-04-20	@RogerZenAF @trguillen151 They could have just shot a Tesla up there and simply waited for it to explode. Would have cost a lot less.	3
