CATEGORY	DATE	TITLE	COUNT
Finance	2023-04-20	Morgan Rielly now has 9 points in his past 9 outings in the Stanley Cup Playoffs.	1
Finance	2023-04-20	@ErieNotEerie When Morgan Stanley wants their cash back	1
Finance	2023-04-20	@Tweetermeyer If my Etrade experience is any guide, it will be exactly the same except you'll have a guy call you every 3 months to see if you want Morgan Stanley to manage your money directly.	1
Finance	2023-04-20	Havent fact checked this stat I just heard on CNBC but lets assume its close enough - NVDA trades at 24x revenues. Oh my word.. Excuse me Morgan Stanley (and one more large bank) - you upgraded NVDA to buy just now - please justify your valuation framework publically!	1
Finance	2023-04-20	$TSLA price cut across the board as below: Morgan Stanley: $200 from $225 JPMorgan: $115 from $120 Citigroup: $175 from $192 Goldman Sachs: $185 from $210 TD Cowen: $150 from $170	1
Finance	2023-04-20	@FootballLearn1 Stanley Morgan, Steve Grogan, Sam Bam Cunningham, Steve Nelson, Andre Tippett	1
Finance	2023-04-20	@TrueNorthCentre @jasrajshallan Did he mention the biggest and most costly PSAC strike ever under Harper? Did he mention the $$ cost of climate change and potential to impact quality of life for everyone. According to Morgan Stanley, climate-related disasters cost the world $650 billion from 2016-2018 .	1
Finance	2023-04-20	@duckvalentine @MatPiscatella Not that old, in that the one above is from last year and the Morgan Stanley one is from 2018. But iirc it's been a thing for a good decade at the least and primarily used as a term in these type of reports from equity analysts / investors	1
Finance	2023-04-20	BREAKING: : Six Flags started at equal weight with $29 stock price target at Morgan Stanley : Market Watch	1
Finance	2023-04-20	BREAKING: : SeaWorld started at overweight with $70 stock price target at Morgan Stanley : Market Watch	1
Finance	2023-04-20	Lifecore has hired Morgan Stanley to sell the company. - Based on CDMO comps (20.6x) from Bourne Partners, - At $30-40mm EBITDA, offers to banker Morgan Stanley could be $15-20/share, - $138mm net debt and preferred, and 30.3mm shares.	1
Finance	2023-04-20	@unusual_whales Just before the GFC, Morgan Stanley sold billions in CDO to pension funds all while betting that they will fail. Where was the SEC? Lawsuits were filed alleging that MS defrauded investors. SEC 20 years later, SEC comes up with this bulletin.	1
Finance	2023-04-20	Morgan Stanley today lowered its price target on Tesla $TSLA to $200 from $250 while maintaining its Overweight rating JPMorgan today lowered its price target on Tesla $TSLA to $115 from $120 while maintaining its Underweight rating	16
Finance	2023-04-20	@followtheh now do Morgan Stanley	1
Finance	2023-04-20	@SeekingAlpha Lifecore has hired Morgan Stanley to sell the company. - Based on CDMO comps (20.6x) from Bourne Partners, - At $30-40mm EBITDA, offers to banker Morgan Stanley could be $15-20/share, - $138mm net debt and preferred, and 30.3mm shares.	1
Finance	2023-04-20	@thecrispypizza @cabadunn @StWoods2023 @inv_maddy @Crazy_Cavalier @uranoutofluck @AbortionChat And, AGAIN.... Morgan Stanley's study says nothing about women being depressed and unfulfilled about their choice to remain childless. That part is a bunch of fabricated BS.	1
Finance	2023-04-20	@oneunderscore__ Elon Musk, SpaceX's founder, hinted ahead of the launch that an explosion was a possibility, saying there was a 50% chance of success. I'm not saying it will get to orbit, but I am guaranteeing excitement, Musk said at the Morgan Stanley Conference last month.	1
Finance	2023-04-20	@ilija_batljan Please explain todays MS notification in $SBB, you were so proud the other day when Blackrock became the second largest shareholder, but silent today. Very few owners have enough shares to do a 50m derivative trade with Morgan Stanley, was it you or Dragfast ?	1
Finance	2023-04-20	@Lily_Warrior @thecrispypizza @cabadunn @StWoods2023 @inv_maddy @Crazy_Cavalier @uranoutofluck @AbortionChat Oh, I totally agree, Im just saying that Morgan Stanley as an investment company for retirement would have the statistics on it. Although probably not on their overall happiness.	1
