CATEGORY	TICKER	DATE	OPEN	CLOSE	PRE_MARKET	AFTER_HOURS	HIGH	LOW
Health	UNH	2022-08-01	542.27	535.38	542.2	535.97	543.65	531
Finance	MS	2022-08-01	83.66	84.09	84.24	84	84.54	83.01
EVs	TSLA	2022-08-01	301.275	297.2767	296.6667	298	311.8782	295
Tech	GOOGL	2022-08-01	115.3	114.86	116.35	114.75	116.72	114.34
Health	UNH	2022-08-02	537.55	535.46	534.54	535.46	540.53	531.72
Finance	MS	2022-08-02	83.33	83.53	83	83.55	84.5899	82.96
EVs	TSLA	2022-08-02	294.0033	300.5867	294.1133	301.3333	307.8333	292.6667
Tech	GOOGL	2022-08-02	114	115.13	114.34	114.95	116.35	113.72
Health	UNH	2022-08-03	537.26	540.65	537.26	540.65	543.62	535.69
Finance	MS	2022-08-03	84.68	85.05	84.03	84.83	85.59	84.12
EVs	TSLA	2022-08-03	305	307.3967	301.3667	307.7467	309.55	301.15
Tech	GOOGL	2022-08-03	115.71	118.08	115.1	117.76	118.62	115.48
Health	UNH	2022-08-04	539.29	533.75	542.48	533.75	540.43	532.755
Finance	MS	2022-08-04	85.2	85.36	85	85.3999	85.65	84.8
EVs	TSLA	2022-08-04	311	308.6333	308.8467	309.1667	313.6067	305
Tech	GOOGL	2022-08-04	117.48	118.19	118.2	118.23	118.78	116.89
Health	UNH	2022-08-05	530	535.06	537.49	536	535.5	527.56
Finance	MS	2022-08-05	84.99	86.13	85.35	86.06	86.71	84.71
EVs	TSLA	2022-08-05	302.67	288.17	312.2233	287.3333	304.6066	285.5447
Tech	GOOGL	2022-08-05	116.23	117.47	118.21	117.21	118.1056	116
Health	UNH	2022-08-08	539.91	536.6	540.3	536.6	541.3	533.42
Finance	MS	2022-08-08	86.76	86.03	86.38	86.26	87.22	85.95
EVs	TSLA	2022-08-08	295	290.4233	294.3333	292.8	305.2	289.0854
Tech	GOOGL	2022-08-08	118.39	117.3	118.17	117.67	120.15	116.88
Health	UNH	2022-08-09	540	537.26	540	537.7	545.74	536.38
Finance	MS	2022-08-09	86.45	86.36	86.5	86.38	86.8386	85.87
EVs	TSLA	2022-08-09	290.2933	283.3333	295.2467	283.8	292.3967	279.3533
Tech	GOOGL	2022-08-09	117.135	116.63	117.53	116.77	117.32	115.71
Health	UNH	2022-08-10	540.26	537.72	540	537.691	541.98	533.81
Finance	MS	2022-08-10	87.53	88.89	86.85	88.9	89.66	87.5
EVs	TSLA	2022-08-10	297.0667	294.3567	286.2033	293.3333	297.51	283.37
Tech	GOOGL	2022-08-10	118.78	119.7	116.43	119.6	120.92	118.41
Health	UNH	2022-08-11	538.24	532.86	534.25	533	538.6336	529.675
Finance	MS	2022-08-11	89.98	90.2	89.5	90.45	90.84	89.8
EVs	TSLA	2022-08-11	296.5133	286.63	295.1367	288.1	298.2367	285.8333
Tech	GOOGL	2022-08-11	121.28	118.84	120.1	119	121.49	118.56
Health	UNH	2022-08-12	535.61	543.7	537.7652	543.7	544.395	534.45
Finance	MS	2022-08-12	90.62	91.66	91	91.58	91.75	90.06
EVs	TSLA	2022-08-12	289.415	300.03	290.3333	301.3333	300.16	285.0333
Tech	GOOGL	2022-08-12	120.26	121.68	119.6	121.67	121.68	119.46
Health	UNH	2022-08-15	541.67	544.64	544.9366	544.64	547.21	538.56
Finance	MS	2022-08-15	90.65	92.02	91.75	92.02	92.29	90.46
EVs	TSLA	2022-08-15	301.7867	309.32	298.39	309.6667	313.1333	301.23
Tech	GOOGL	2022-08-15	121.13	122.08	120.63	121.91	122.3	120.61
Health	UNH	2022-08-16	545.21	546.12	545.21	546.12	547.44	542.39
Finance	MS	2022-08-16	91.48	91.82	91.75	91.82	92.27	91.335
EVs	TSLA	2022-08-16	311.6667	306.5633	308.5233	306.4	314.6667	302.8833
Tech	GOOGL	2022-08-16	121.52	121.7	121.9	121.54	122.43	120.64
Health	UNH	2022-08-17	545.24	545	544.07	544.02	547.79	541.57
Finance	MS	2022-08-17	90.39	91.35	91.29	91.05	91.83	90.35
EVs	TSLA	2022-08-17	303.3967	303.9967	306	303	309.6567	300.0333
Tech	GOOGL	2022-08-17	120.12	119.55	121.65	119.11	121.29	119.38
Health	UNH	2022-08-18	545.01	545.22	543.69	545.22	548.13	541.82
Finance	MS	2022-08-18	91.17	91.73	91.42	91.55	92	90.99
EVs	TSLA	2022-08-18	306	302.87	303.0267	303.1033	306.5	301.8533
Tech	GOOGL	2022-08-18	119.43	120.17	119.19	120.08	120.82	118.72
Health	UNH	2022-08-19	545.5	548.32	543.39	548.32	553.1299	544.815
Finance	MS	2022-08-19	90.65	90.01	90.5	89.6	90.92	89.66
EVs	TSLA	2022-08-19	299	296.6667	301.9767	295.2667	300.36	292.5
Tech	GOOGL	2022-08-19	119.06	117.21	119.78	116.82	119.15	116.76
Health	UNH	2022-08-22	541.39	544.57	545.1	548.18	549.52	541.35
Finance	MS	2022-08-22	88.43	88.46	89.3	88.4801	88.86	87.71
EVs	TSLA	2022-08-22	291.9133	289.9133	291.6667	290.5833	292.4	286.2967
Tech	GOOGL	2022-08-22	115.2	114.24	116.1	114.62	115.63	113.85
Health	UNH	2022-08-23	543.29	535.8	543.29	535.8	543.29	533.21
Finance	MS	2022-08-23	88.46	88.3	88.2	88.29	89.25	87.955
EVs	TSLA	2022-08-23	291.4533	296.4533	290	296.5333	298.8266	287.9233
Tech	GOOGL	2022-08-23	113.475	113.86	114.94	113.85	115.01	113.43
Health	UNH	2022-08-24	536.68	536.46	536.68	536.63	539.86	535.02
Finance	MS	2022-08-24	87.99	88.6	88.23	89.1899	89.04	87.81
EVs	TSLA	2022-08-24	297.5633	297.0967	296.5867	297.5333	303.6467	296.5
Tech	GOOGL	2022-08-24	113.5	113.69	113.35	113.67	114.78	112.8701
Health	UNH	2022-08-25	535.01	541.57	537.26	541.55	542.02	531.25
Finance	MS	2022-08-25	89.07	89.91	89.01	89.83	90.1	88.8
EVs	TSLA	2022-08-25	302.36	296.07	307.95	295.7	302.96	291.6
Tech	GOOGL	2022-08-25	114.235	116.65	115	116.59	116.72	114.11
Health	UNH	2022-08-26	542.26	529.25	538.01	528	543.19	528.22
Finance	MS	2022-08-26	90.34	86.81	89.82	86.76	90.49	86.72
EVs	TSLA	2022-08-26	297.43	288.09	296.77	284.5	302	287.47
Tech	GOOGL	2022-08-26	114.72	110.34	116.65	110.13	115.12	110.19
Health	UNH	2022-08-29	526	529.77	524.4743	529.1	532.9	522.87
Finance	MS	2022-08-29	86.14	85.35	86	85.45	86.43	85.06
EVs	TSLA	2022-08-29	282.83	284.82	281.91	285.7	287.74	280.7
Tech	GOOGL	2022-08-29	109.99	109.42	109.54	110	110.95	108.8
Health	UNH	2022-08-30	530.41	522.84	533.35	522.41	531.09	521.79
