CATEGORY	TICKER	DATE	OPEN	CLOSE	PRE_MARKET	AFTER_HOURS	HIGH	LOW
Health	UNH	2023-01-03	525.13	518.64	531.15	518.1501	525.63	512.1601
Finance	MS	2023-01-03	85.635	85.72	85.9	85.56	86.6	84.98
EVs	TSLA	2023-01-03	118.47	108.1	120.02	107	118.8	104.64
Telecom	AMT	2023-01-03	214	214.67	211.86	214.67	215.25	210.97
Tech	GOOGL	2023-01-03	89.585	89.12	89.02	89.07	91.05	88.52
Health	UNH	2023-01-04	518.64	504.5	519	504.48	518.64	500.6
Finance	MS	2023-01-04	85.55	86.65	85.3	86.97	87.35	85.175
EVs	TSLA	2023-01-04	109.11	113.64	108.88	113.66	114.59	107.52
Telecom	AMT	2023-01-04	217.41	219	216.51	219	222.54	215.51
Tech	GOOGL	2023-01-04	90.35	88.08	89.71	87.88	90.65	87.271
Health	UNH	2023-01-05	501.01	489.96	505.2	487.2	502.09	488.5
Finance	MS	2023-01-05	85.9	85.92	86.46	85.92	86.1674	84.83
EVs	TSLA	2023-01-05	110.51	110.34	112.5	110.35	111.75	107.1601
Telecom	AMT	2023-01-05	217.07	212.13	217.07	212.13	217.81	211.5
Tech	GOOGL	2023-01-05	87.47	86.2	87.77	86.36	87.57	85.9
Health	UNH	2023-01-06	491.59	490	488	490	492.87	487.5401
Finance	MS	2023-01-06	86.44	87.56	86.18	87.42	87.96	85.71
EVs	TSLA	2023-01-06	103	113.06	107.69	113.68	114.39	101.81
Telecom	AMT	2023-01-06	213.4	218.5	213.5	218.5	219.34	210.925
Tech	GOOGL	2023-01-06	86.79	87.34	86.45	87.27	87.69	84.86
Health	UNH	2023-01-09	492.41	490.06	489	490.2499	499.99	488.54
Finance	MS	2023-01-09	88.245	87.64	87.88	87.48	88.9125	87.41
EVs	TSLA	2023-01-09	118.96	119.77	114.03	119.55	123.52	117.11
Telecom	AMT	2023-01-09	220.85	219.3	220.85	219.3	223.46	219.14
Tech	GOOGL	2023-01-09	88.36	88.02	87.55	87.79	90.05	87.86
Health	UNH	2023-01-10	488.85	486	489.49	486	490.47	482.68
Finance	MS	2023-01-10	87.55	88.92	87.69	88.9	88.93	86.84
EVs	TSLA	2023-01-10	121.07	118.85	120.6	118.66	122.76	114.92
Telecom	AMT	2023-01-10	221.09	221.95	220.5	221.95	222.95	219.75
Tech	GOOGL	2023-01-10	85.98	88.42	87.65	88.5	88.67	85.83
Health	UNH	2023-01-11	485.29	493.4	483.89	493.4	495.6	485
Finance	MS	2023-01-11	89.37	89.43	89.01	89.45	89.81	88.85
EVs	TSLA	2023-01-11	122.09	123.22	118.63	123.19	125.95	120.51
Telecom	AMT	2023-01-11	223.71	228.12	223.71	228.12	228.81	223.71
Tech	GOOGL	2023-01-11	89.18	91.52	88.53	91.65	91.6	89.01
Health	UNH	2023-01-12	490	495.67	495.99	497	498.73	485.22
Finance	MS	2023-01-12	90.02	90.53	89.43	90.6	91.81	89.35
EVs	TSLA	2023-01-12	122.56	123.56	123.22	123	124.1311	117
Telecom	AMT	2023-01-12	229.3	232.21	228.9	232.22	232.8	225.56
Tech	GOOGL	2023-01-12	91.48	91.13	91.81	91.21	91.87	89.75
Health	UNH	2023-01-13	486.11	489.57	501.5	489.4999	509.5	486
Finance	MS	2023-01-13	89.03	91.66	90.51	91.59	91.98	88.27
EVs	TSLA	2023-01-13	116.55	122.4	118	122.0299	122.63	115.6
Telecom	AMT	2023-01-13	229.25	232.81	230.372	232.9	234.87	229.25
Tech	GOOGL	2023-01-13	90.85	92.12	91.13	92	92.19	90.1299
Health	UNH	2023-01-17	491.2	485.08	489	484	492.94	483.78
Finance	MS	2023-01-17	95.9	97.08	91.44	97	99.1	95
EVs	TSLA	2023-01-17	125.695	131.49	122	131.3	131.7	125.02
Telecom	AMT	2023-01-17	234.23	231.05	234.23	231.05	235.57	230.96
Tech	GOOGL	2023-01-17	92.06	91.29	92.02	91	92.25	90.05
Health	UNH	2023-01-18	488.05	476.24	486	475	489.5	474.75
Finance	MS	2023-01-18	96.8	96.58	96.7	96.31	97.95	96.335
EVs	TSLA	2023-01-18	136.555	128.78	132.16	126.72	136.68	127.01
Telecom	AMT	2023-01-18	231.26	225.19	231.26	224.8	232.51	224.24
Tech	GOOGL	2023-01-18	92.14	91.12	91.64	90.55	92.7999	90.64
Health	UNH	2023-01-19	477.87	484.36	475	485.1	486.39	477.3882
Finance	MS	2023-01-19	94.61	94.15	95.75	94.31	94.98	92.94
EVs	TSLA	2023-01-19	127.26	127.17	127.47	128.36	129.99	124.3082
Telecom	AMT	2023-01-19	224.07	223.35	220.01	223.35	227.11	222.965
Tech	GOOGL	2023-01-19	90.72	93.05	90.81	93.35	93.605	90.63
Health	UNH	2023-01-20	485.53	486.72	482.81	486.58	486.99	479
Finance	MS	2023-01-20	94.13	96.24	94.98	96	96.28	93.88
EVs	TSLA	2023-01-20	128.68	133.42	128.36	133.85	133.51	127.3466
Telecom	AMT	2023-01-20	221.36	221.41	223.65	221.51	221.76	214.46
Tech	GOOGL	2023-01-20	95.1	98.02	93.53	98	98.3	95.02
Health	UNH	2023-01-23	486.68	485.81	487.13	485.7999	490.1	481.39
Finance	MS	2023-01-23	95.87	97.13	95.97	97	97.22	95.49
EVs	TSLA	2023-01-23	135.87	143.75	133.87	144.8	145.3793	134.27
Telecom	AMT	2023-01-23	218.89	215.67	219.8	215.6999	219.99	215.1
Tech	GOOGL	2023-01-23	97.95	99.79	98.22	98.9	100.04	97.5
Health	UNH	2023-01-24	500.26	491.6	486	490	500.26	480
Finance	MS	2023-01-24	96.28	95.51	97.02	95.1	96.81	89.14
EVs	TSLA	2023-01-24	143	143.89	146	140.97	146.5	141.1
Telecom	AMT	2023-01-24	214.93	215.17	214.93	214.81	216.56	212.64
Tech	GOOGL	2023-01-24	98.1	97.7	98.7	97	99.61	97.2
Health	UNH	2023-01-25	489.28	492.5	489.64	492.51	495.36	485.73
Finance	MS	2023-01-25	94.88	95.64	95	95.8	95.93	94.44
EVs	TSLA	2023-01-25	141.905	144.43	142.47	152.35	146.41	138.07
Telecom	AMT	2023-01-25	213.91	218.66	213.91	218.66	219.4	212.79
Tech	GOOGL	2023-01-25	95.57	95.22	97.54	95.42	96.162	93.76
Health	UNH	2023-01-26	492.5	492.48	492.4	492	496.45	490.5801
Finance	MS	2023-01-26	96.22	96.5	96	96.48	96.54	95.311
EVs	TSLA	2023-01-26	159.965	160.27	153.43	158.95	161.42	154.76
Telecom	AMT	2023-01-26	219.84	221.03	220.5	220.94	221.5	218.5
Tech	GOOGL	2023-01-26	96.5	97.52	96.08	97	97.57	95.38
